"","name","lat","lon","time","Rab.Obv","geometry","RabID","MST.time","Hour","DayOfYr","Date"
"1","Ja",43.20706598,-115.985356,"2022-08-03T05:15:26Z","Jackrab",c(-115.985356, 43.20706598),1,2022-08-02 23:15:26,23,214,2022-08-02
"2","Ja06",43.344956,-116.130026,"2022-08-02T04:41:42Z","Jackrab",c(-116.130026, 43.344956),2,2022-08-01 22:41:42,22,213,2022-08-01
"3","Ja1",43.207659,-115.984153,"2022-08-03T05:15:57Z","Jackrab",c(-115.984153, 43.207659),3,2022-08-02 23:15:57,23,214,2022-08-02
"4","Ja10",43.28552102,-116.193515,"2022-08-04T08:19:07Z","Jackrab",c(-116.193515, 43.28552102),4,2022-08-04 02:19:07,2,216,2022-08-04
"5","Ja11",43.16068598,-116.209716,"2022-08-03T06:40:19Z","Jackrab",c(-116.209716, 43.16068598),5,2022-08-03 00:40:19,0,215,2022-08-03
"6","Ja12",43.28458501,-116.193515,"2022-08-04T08:52:01Z","Jackrab",c(-116.193515, 43.28458501),6,2022-08-04 02:52:01,2,216,2022-08-04
"7","Ja13",43.28381103,-116.090099,"2022-08-05T08:54:45Z","Jackrab",c(-116.090099, 43.28381103),7,2022-08-05 02:54:45,2,217,2022-08-05
"8","Ja14",43.35447298,-116.23443,"2022-08-08T07:50:52Z","Jackrab",c(-116.23443, 43.35447298),8,2022-08-08 01:50:52,1,220,2022-08-08
"9","Ja15",43.370611,-116.234432,"2022-08-09T07:44:17Z","Jackrab",c(-116.234432, 43.370611),9,2022-08-09 01:44:17,1,221,2022-08-09
"10","Ja16",43.196671,-116.011912,"2022-08-11T07:31:36Z","Jackrab",c(-116.011912, 43.196671),10,2022-08-11 01:31:36,1,223,2022-08-11
"11","Ja17",43.16177798,-116.213483,"2022-08-11T09:03:21Z","Jackrab",c(-116.213483, 43.16177798),11,2022-08-11 03:03:21,3,223,2022-08-11
"12","Ja18",43.31074803,-116.237528,"2022-08-12T08:42:17Z","Jackrab",c(-116.237528, 43.31074803),12,2022-08-12 02:42:17,2,224,2022-08-12
"13","Ja19",43.33976702,-116.127244,"2022-08-12T09:26:03Z","Jackrab",c(-116.127244, 43.33976702),13,2022-08-12 03:26:03,3,224,2022-08-12
"14","Ja2",43.164889,-116.220398,"2022-08-03T06:44:14Z","Jackrab",c(-116.220398, 43.164889),14,2022-08-03 00:44:14,0,215,2022-08-03
"15","Ja21",43.19610103,-116.007213,"2022-08-04T10:25:22Z","Jackrab",c(-116.007213, 43.19610103),15,2022-08-04 04:25:22,4,216,2022-08-04
"16","Ja22",43.164026,-116.218397,"2022-08-11T09:05:07Z","Jackrab",c(-116.218397, 43.164026),16,2022-08-11 03:05:07,3,223,2022-08-11
"17","Ja23",43.34306697,-116.165036,"2022-08-12T09:41:44Z","Jackrab",c(-116.165036, 43.34306697),17,2022-08-12 03:41:44,3,224,2022-08-12
"18","Ja3",43.16566902,-116.222466,"2022-08-03T06:44:58Z","Jackrab",c(-116.222466, 43.16566902),18,2022-08-03 00:44:58,0,215,2022-08-03
"19","Ja31",43.19786601,-116.010326,"2022-08-04T10:26:38Z","Jackrab",c(-116.010326, 43.19786601),19,2022-08-04 04:26:38,4,216,2022-08-04
"20","Ja32",43.16668399,-116.225002,"2022-08-11T09:07:14Z","Jackrab",c(-116.225002, 43.16668399),20,2022-08-11 03:07:14,3,223,2022-08-11
"21","Ja4",43.17520503,-116.247704,"2022-08-03T06:53:45Z","Jackrab",c(-116.247704, 43.17520503),21,2022-08-03 00:53:45,0,215,2022-08-03
"22","Ja41",43.169362,-116.233089,"2022-08-11T09:10:01Z","Jackrab",c(-116.233089, 43.169362),22,2022-08-11 03:10:01,3,223,2022-08-11
"23","Ja5",43.18128602,-116.262042,"2022-08-03T06:59:29Z","Jackrab",c(-116.262042, 43.18128602),23,2022-08-03 00:59:29,0,215,2022-08-03
"24","Ja51",43.175157,-116.247299,"2022-08-11T09:14:38Z","Jackrab",c(-116.247299, 43.175157),24,2022-08-11 03:14:38,3,223,2022-08-11
"25","Ja6",43.20474998,-116.274197,"2022-08-03T07:13:24Z","Jackrab",c(-116.274197, 43.20474998),25,2022-08-03 01:13:24,1,215,2022-08-03
"26","Ja61",43.18216402,-116.264108,"2022-08-11T09:20:27Z","Jackrab",c(-116.264108, 43.18216402),26,2022-08-11 03:20:27,3,223,2022-08-11
"27","Ja7",43.20614297,-116.274269,"2022-08-03T07:14:12Z","Jackrab",c(-116.274269, 43.20614297),27,2022-08-03 01:14:12,1,215,2022-08-03
"28","Ja71",43.20444698,-116.274199,"2022-08-11T09:36:48Z","Jackrab",c(-116.274199, 43.20444698),28,2022-08-11 03:36:48,3,223,2022-08-11
"29","Ja8",43.31334298,-116.133833,"2022-08-03T09:09:16Z","Jackrab",c(-116.133833, 43.31334298),29,2022-08-03 03:09:16,3,215,2022-08-03
"30","Ja9",43.15992096,-116.208236,"2022-08-03T06:39:46Z","Jackrab",c(-116.208236, 43.15992096),30,2022-08-03 00:39:46,0,215,2022-08-03
"31","Jai",43.16519201,-116.163828,"2022-08-03T06:21:03Z","Jackrab",c(-116.163828, 43.16519201),31,2022-08-03 00:21:03,0,215,2022-08-03
"32","Jai1",43.17809603,-116.164783,"2022-08-03T06:23:11Z","Jackrab",c(-116.164783, 43.17809603),32,2022-08-03 00:23:11,0,215,2022-08-03
"33","Jai10",43.22764699,-116.218932,"2022-08-03T07:37:40Z","Jackrab",c(-116.218932, 43.22764699),33,2022-08-03 01:37:40,1,215,2022-08-03
"34","Jai101",43.16876496,-116.164226,"2022-08-04T09:09:41Z","Jackrab",c(-116.164226, 43.16876496),34,2022-08-04 03:09:41,3,216,2022-08-04
