"","Survey_ID","Km","JJ","JA","Junkn","CJ","CA","Cunkn","Jackrabbits","CottonTails"
"1",1,1,0,0,0,0,0,0,0,0
"2",1,2,0,0,0,0,0,0,0,0
"3",1,3,0,0,0,0,0,0,0,0
"4",1,4,0,0,0,0,0,0,0,0
"5",1,5,0,1,0,0,0,0,1,0
"6",1,6,0,0,0,0,0,0,0,0
"7",1,7,0,0,0,0,0,0,0,0
"8",1,8,0,0,1,0,0,0,1,0
"9",1,9,0,2,0,0,0,0,2,0
"10",2,1,0,0,0,0,0,0,0,0
"11",2,2,0,0,0,0,0,0,0,0
"12",2,3,0,0,0,0,0,0,0,0
"13",2,4,0,0,0,0,0,0,0,0
"14",2,5,0,0,0,0,0,0,0,0
"15",2,6,0,1,0,0,0,0,1,0
"16",2,7,0,0,0,0,0,0,0,0
"17",2,8,0,1,0,0,0,0,1,0
"18",3,1,0,1,0,0,0,0,1,0
"19",3,2,0,1,1,0,0,0,2,0
"20",3,3,0,0,0,0,0,0,0,0
"21",3,4,0,2,1,0,0,0,3,0
"22",3,5,0,3,0,0,0,0,3,0
"23",3,6,0,0,1,0,0,0,1,0
"24",3,7,0,3,1,0,0,0,4,0
"25",3,8,0,1,0,0,0,0,1,0
"26",3,9,0,0,0,0,0,0,0,0
"27",4,1,0,1,1,0,0,0,2,0
"28",4,2,0,0,0,0,0,0,0,0
"29",4,3,0,0,0,0,0,0,0,0
"30",4,4,0,2,0,0,0,0,2,0
"31",4,5,0,0,0,0,0,0,0,0
"32",4,6,0,0,0,0,0,0,0,0
"33",4,7,0,0,0,0,0,0,0,0
"34",4,8,0,0,0,0,0,0,0,0
"35",4,9,0,0,0,0,0,0,0,0
"36",4,10,0,0,1,0,0,0,1,0
"37",4,11,0,2,0,0,0,0,2,0
"38",5,1,0,0,0,0,0,0,0,0
"39",5,2,0,0,0,0,0,0,0,0
"40",5,3,0,2,0,0,0,0,2,0
"41",5,4,0,0,0,0,0,0,0,0
"42",5,5,0,0,0,0,0,0,0,0
"43",5,6,0,0,0,0,0,0,0,0
"44",5,7,0,0,0,0,0,0,0,0
"45",5,8,0,0,1,0,0,0,1,0
"46",5,9,0,0,1,0,0,0,1,0
"47",5,10,0,0,0,0,0,0,0,0
"48",5,11,0,0,0,0,0,0,0,0
"49",6,1,0,2,1,0,0,0,3,0
"50",6,2,0,0,0,0,0,0,0,0
"51",6,3,0,0,0,0,0,0,0,0
"52",6,4,0,0,0,0,0,0,0,0
"53",6,5,0,1,1,0,0,0,2,0
"54",6,6,0,0,0,0,0,0,0,0
"55",6,7,0,1,0,0,0,0,1,0
"56",6,8,0,2,0,0,0,0,2,0
"57",6,9,0,2,0,0,0,0,2,0
"58",7,1,0,0,0,0,0,0,0,0
"59",7,2,0,0,0,0,0,0,0,0
"60",7,3,0,0,0,0,0,0,0,0
"61",7,4,0,0,0,0,0,0,0,0
"62",7,5,1,0,0,0,0,0,1,0
"63",7,6,0,0,0,0,0,0,0,0
"64",7,7,0,0,0,0,0,0,0,0
"65",7,8,0,0,0,0,0,0,0,0
"66",8,1,0,0,0,0,0,0,0,0
"67",8,2,0,0,0,0,0,0,0,0
"68",8,3,0,0,0,0,0,0,0,0
"69",8,4,0,0,1,0,0,0,1,0
"70",8,5,0,0,0,0,0,0,0,0
"71",8,6,0,0,0,0,0,0,0,0
"72",8,7,0,0,1,0,0,0,1,0
"73",8,8,0,1,0,0,0,0,1,0
"74",8,9,0,0,0,0,0,0,0,0
"75",9,1,0,0,0,0,0,0,0,0
"76",9,2,0,0,0,0,0,0,0,0
"77",9,3,0,0,0,0,0,0,0,0
"78",9,4,0,2,1,0,0,0,3,0
"79",9,5,0,0,0,0,0,0,0,0
"80",9,6,0,0,0,0,0,0,0,0
"81",9,7,0,0,0,0,0,0,0,0
"82",9,8,1,0,1,0,0,0,2,0
"83",9,9,0,2,0,0,0,0,2,0
"84",10,1,0,0,0,0,0,0,0,0
"85",10,2,0,0,0,0,0,0,0,0
"86",10,3,0,0,0,0,0,0,0,0
"87",10,4,0,0,0,0,0,0,0,0
"88",10,5,0,0,0,0,0,0,0,0
