"","RabID","Rab.Obv","name","Date","Hour","DayOfYr","MST.time","lat","lon","geometry","SurveyNight"
"1",1,"Jackrab","Ja",2022-08-02,23,214,2022-08-02 23:15:26,43.20706598,-115.985356,c(-115.985356, 43.20706598),"2"
"2",2,"Jackrab","Ja06",2022-08-01,22,213,2022-08-01 22:41:42,43.344956,-116.130026,c(-116.130026, 43.344956),"1"
"3",3,"Jackrab","Ja1",2022-08-02,23,214,2022-08-02 23:15:57,43.207659,-115.984153,c(-115.984153, 43.207659),"2"
"4",4,"Jackrab","Ja10",2022-08-04,2,216,2022-08-04 02:19:07,43.28552102,-116.193515,c(-116.193515, 43.28552102),"3"
"5",5,"Jackrab","Ja11",2022-08-03,0,215,2022-08-03 00:40:19,43.16068598,-116.209716,c(-116.209716, 43.16068598),"2"
"6",6,"Jackrab","Ja12",2022-08-04,2,216,2022-08-04 02:52:01,43.28458501,-116.193515,c(-116.193515, 43.28458501),"3"
"7",7,"Jackrab","Ja13",2022-08-05,2,217,2022-08-05 02:54:45,43.28381103,-116.090099,c(-116.090099, 43.28381103),"4"
"8",8,"Jackrab","Ja14",2022-08-08,1,220,2022-08-08 01:50:52,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"9",9,"Jackrab","Ja15",2022-08-09,1,221,2022-08-09 01:44:17,43.370611,-116.234432,c(-116.234432, 43.370611),"6"
"10",10,"Jackrab","Ja16",2022-08-11,1,223,2022-08-11 01:31:36,43.196671,-116.011912,c(-116.011912, 43.196671),"7"
"11",11,"Jackrab","Ja17",2022-08-11,3,223,2022-08-11 03:03:21,43.16177798,-116.213483,c(-116.213483, 43.16177798),"7"
"12",12,"Jackrab","Ja18",2022-08-12,2,224,2022-08-12 02:42:17,43.31074803,-116.237528,c(-116.237528, 43.31074803),"8"
"13",13,"Jackrab","Ja19",2022-08-12,3,224,2022-08-12 03:26:03,43.33976702,-116.127244,c(-116.127244, 43.33976702),"8"
"14",14,"Jackrab","Ja2",2022-08-03,0,215,2022-08-03 00:44:14,43.164889,-116.220398,c(-116.220398, 43.164889),"2"
"15",15,"Jackrab","Ja21",2022-08-04,4,216,2022-08-04 04:25:22,43.19610103,-116.007213,c(-116.007213, 43.19610103),"3"
"16",16,"Jackrab","Ja22",2022-08-11,3,223,2022-08-11 03:05:07,43.164026,-116.218397,c(-116.218397, 43.164026),"7"
"17",17,"Jackrab","Ja23",2022-08-12,3,224,2022-08-12 03:41:44,43.34306697,-116.165036,c(-116.165036, 43.34306697),"8"
"18",18,"Jackrab","Ja3",2022-08-03,0,215,2022-08-03 00:44:58,43.16566902,-116.222466,c(-116.222466, 43.16566902),"2"
"19",19,"Jackrab","Ja31",2022-08-04,4,216,2022-08-04 04:26:38,43.19786601,-116.010326,c(-116.010326, 43.19786601),"3"
"20",20,"Jackrab","Ja32",2022-08-11,3,223,2022-08-11 03:07:14,43.16668399,-116.225002,c(-116.225002, 43.16668399),"7"
"21",21,"Jackrab","Ja4",2022-08-03,0,215,2022-08-03 00:53:45,43.17520503,-116.247704,c(-116.247704, 43.17520503),"2"
"22",22,"Jackrab","Ja41",2022-08-11,3,223,2022-08-11 03:10:01,43.169362,-116.233089,c(-116.233089, 43.169362),"7"
