Survey_ID,Km_markingID,JJ,JA,Junkn,CJ,CA,Cunkn,OtherSpp_spp,OtherSpp_count,OtherSpp2_spp,OtherSpp2_count,OtherSpp3_spp,OtherSpp3_count,Comments,,,,,,,,,,,,,,,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
1,2,0,0,0,0,0,0,Burrowing_owl,1,Unkn_bird,1,0,0,"This unknown bird was large in size but could not properly identify what type of large bird it was, suspect an owl. This unknown bird observation could be taken out of the dataset. ",,,,,,,,,,,,,,,
1,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
1,4,0,0,0,0,0,0,Nighthawk,1,0,0,0,0,NA,,,,,,,,,,,,,,,
1,5,0,1,0,0,0,0,Burrowing_owl,1,0,0,0,0,NA,,,,,,,,,,,,,,,
1,6,0,0,0,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
1,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
1,8,0,0,1,0,0,0,Kangaroo_rat,1,0,0,0,0,This unknown jackrabbit was to far to tell age ,,,,,,,,,,,,,,,
1,9,0,2,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
2,1,0,0,0,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
2,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
2,3,0,0,0,0,0,0,Kangaroo_rat,3,0,0,0,0,NA,,,,,,,,,,,,,,,
2,4,0,0,0,0,0,0,Unkn_bird,1,0,0,0,0,"This unknown bird was large in size but could not properly identify what type of large bird it was, suspect an owl. This unknown bird observation could be taken out of the dataset. ",,,,,,,,,,,,,,,
2,5,0,0,0,0,0,0,Burrowing_owl,3,0,0,0,0,NA,,,,,,,,,,,,,,,
2,6,0,1,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
2,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
2,8,0,1,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
3,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
3,2,0,1,1,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
3,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
3,4,0,2,1,0,0,0,0,0,0,0,0,0,Unknown jackrabbit in the km was inbetween an adult and juv. size,,,,,,,,,,,,,,,
3,5,0,3,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
3,6,0,0,1,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
3,7,0,3,1,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
3,8,0,1,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
3,9,0,0,0,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
4,1,0,1,1,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
4,2,0,0,0,0,0,0,Kangaroo_rat,2,0,0,0,0,NA,,,,,,,,,,,,,,,
4,3,0,0,0,0,0,0,Burrowing_owl,3,0,0,0,0,NA,,,,,,,,,,,,,,,
4,4,0,2,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
4,5,0,0,0,0,0,0,Unkn_bird,1,0,0,0,0,"This unknown bird was large in size but could not properly identify what type of large bird it was, suspect an owl. This unknown bird observation could be taken out of the dataset. ",,,,,,,,,,,,,,,
4,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
4,7,0,0,0,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
4,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
4,9,0,0,0,0,0,0,Kangaroo_rat,0,0,0,0,0,NA,,,,,,,,,,,,,,,
4,10,0,0,1,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
